,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
98,36.05,32.36,36.338,40.856,38.93,39.47,36.788,37.058,34.772,40.730000000000004,37.76,39.308,35.87,32.36,38.246,41.251999999999995,38.048,43.718,37.525999999999996,34.394,34.574,39.38,39.47,36.104,38.174,41.576,42.44,38.21,40.010000000000005,
99,36.014,32.36,36.32,41.251999999999995,39.254,39.668,37.382,37.256,34.916,40.352000000000004,37.958,39.488,35.708,34.772,38.318,41.108000000000004,38.3,43.826,37.652,34.646,34.592,39.506,39.632,36.104,38.588,41.629999999999995,42.674,38.408,40.406,
100,35.888,32.36,36.392,41.738,39.344,39.632,37.292,37.544,35.078,39.056,38.246,39.83,35.69,35.474000000000004,38.534,41.198,38.408,43.826,37.76,34.97,34.808,39.542,39.866,36.194,38.57,41.54,42.745999999999995,38.714,40.856,
101,35.852000000000004,32.36,36.752,41.504000000000005,39.884,39.866,37.364,37.562,34.646,39.02,38.57,40.28,35.798,36.698,38.768,41.396,38.3,43.934,37.922,35.33,35.275999999999996,39.632,40.352000000000004,36.302,38.642,41.468,43.088,39.02,41.45,
102,36.158,32.36,36.896,42.35,40.064,40.262,37.256,38.12,34.97,39.11,38.678,41.108000000000004,36.967999999999996,37.004,38.984,41.647999999999996,38.3,44.096000000000004,38.228,35.653999999999996,35.636,39.722,40.982,36.518,38.912,41.576,43.736,39.758,42.403999999999996,
103,36.698,33.008,37.076,43.376000000000005,40.388,40.604,37.903999999999996,38.822,36.518,39.182,38.912,41.864000000000004,37.13,37.238,39.217999999999996,42.224000000000004,38.282000000000004,44.348,38.714,36.14,36.284,39.704,41.396,37.04,39.254,41.629999999999995,44.186,40.226,43.088,
104,36.824,32.972,37.022,43.628,41.198,40.604,38.084,39.56,36.14,39.326,39.704,42.224000000000004,37.238,37.418,39.11,42.908,38.48,44.852,38.912,36.428,36.572,40.010000000000005,41.954,37.418,39.506,41.702,44.186,40.495999999999995,43.268,
105,36.194,32.972,37.742,43.682,41.882000000000005,41.0,37.886,40.226,35.96,39.47,40.010000000000005,42.548,37.544,37.508,39.398,43.646,38.642,45.212,39.326,36.41,37.202,40.495999999999995,42.692,37.724000000000004,39.65,41.738,44.114000000000004,40.604,43.538,
106,37.112,33.008,37.994,43.772,41.954,41.54,37.85,40.495999999999995,36.158,39.614000000000004,40.370000000000005,42.602000000000004,37.814,38.624,39.902,43.556,38.804,45.554,39.686,36.824,37.814,41.108000000000004,43.376000000000005,38.3,39.848,41.647999999999996,43.952,40.748000000000005,43.97,
107,37.525999999999996,33.008,37.85,43.79,41.989999999999995,42.007999999999996,37.724000000000004,41.54,36.536,39.704,41.108000000000004,42.566,38.336,39.2,40.46,43.25,38.93,45.968,39.866,37.184,38.264,41.774,43.628,38.444,39.956,41.612,43.897999999999996,40.873999999999995,43.934,
